id;name;zip; additionalNr;commune;bsfNr;abbreviation;alt;long;lang
2507;Merenschwand;5634;0;Merenschwand;4234;AG;8.3757627;47.2602415;de
2870;Mergoscia;6647;0;Mergoscia;5117;TI;8.8482318;46.2106590;it
3032;Meride;6866;0;Mendrisio;5254;TI;8.9526370;45.8903437;it
1742;Merishausen;8232;0;Merishausen;2936;SH;8.6070669;47.7600878;de
806;Merligen;3658;0;Sigriswil;938;BE;7.7376034;46.6989313;de
1068;Merlischachen;6402;0;Kussnacht (SZ);1331;SZ;8.4080485;47.0663780;de
4039;Mervelier;2827;0;Mervelier;6715;JU;7.5037277;47.3442501;fr
663;Merzligen;3274;3;Merzligen;741;BE;7.2543451;47.0876425;de
2206;Mesocco;6563;0;Mesocco;3822;GR;9.2307583;46.3927803;it
1505;Messen;3254;0;Messen;2457;SO;7.4487161;47.0914874;de
2468;Mettau;5274;0;Mettauertal;4184;AG;8.1262013;47.5643163;de
4040;Mettembert;2806;0;Mettembert;6716;JU;7.3194678;47.3978923;fr
2644;Mettendorf TG;8553;3;Huttlingen;4590;TG;8.9698340;47.5773988;de
2766;Mettlen;9517;0;Bussnang;4921;TG;9.1203331;47.5329395;de
14;Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.4637698;47.2427992;de
1532;Metzerlen;4116;0;Metzerlen-Mariastein;2477;SO;7.4659299;47.4656968;de
3194;Mex VD;1031;0;Mex (VD);5489;VD;6.5522860;46.5774980;fr
3790;Mex VS;1890;1;Saint-Maurice;6217;VS;6.9995661;46.1849812;fr
1422;Meyriez;3280;2;Meyriez;2271;FR;7.1090920;46.9249656;de
4004;Meyrin;1217;0;Meyrin;6630;GE;6.0706617;46.2282675;fr
3543;Mezery-pres-Donneloye;1407;3;Donneloye;5913;VD;6.7274291;46.7490692;fr
1263;Mezieres FR;1684;0;Mezieres (FR);2087;FR;6.9263428;46.6791242;fr
3452;Mezieres VD;1083;0;Jorat-Mezieres;5806;VD;6.7712172;46.5952331;fr
2961;Mezzovico;6805;0;Mezzovico-Vira;5199;TI;8.8732244;46.0863107;it
2962;Mezzovico;6805;0;Mezzovico-Vira;5199;TI;8.9149692;46.0897646;it
1295;Middes;1749;0;Torny;2115;FR;6.9493538;46.7680737;fr
4112;Miecourt;2946;0;La Baroche;6810;JU;7.1764274;47.4260692;fr
3805;Miege;3972;0;Noble-Contree;6254;VS;7.5472213;46.3121341;fr
3389;Mies;1295;1;Mies;5723;VD;6.1709294;46.3054021;fr
3756;Miex;1896;2;Vouvry;6159;VS;6.8636568;46.3384555;fr
2963;Miglieglia;6986;2;Miglieglia;5200;TI;8.8572936;46.0254094;it
737;Milken;3157;0;Schwarzenburg;855;BE;7.3586981;46.7925710;de
2871;Minusio;6648;0;Minusio;5118;TI;8.8130310;46.1767201;it
2049;Miralago;7743;2;Poschiavo;3561;GR;10.1007153;46.2730740;it
580;Mirchel;3532;2;Mirchel;615;BE;7.6472244;46.8956160;de
3845;Miseriez (Salins);1991;5;Sion;6266;VS;7.3454835;46.2071453;fr
1423;Misery;1721;1;Misery-Courtion;2272;FR;7.0691744;46.8513549;fr
3820;Mission;3961;27;Anniviers;6252;VS;7.5946605;46.1925473;fr
3459;Missy;1565;0;Missy;5821;VD;6.9703997;46.8803792;fr
1156;Mitlodi;8756;0;Glarus Sud;1631;GL;9.0790200;47.0104628;de
379;Mittelhausern;3147;0;Koniz;355;BE;7.3680021;46.8764720;de
1945;Mogelsberg;9122;0;Neckertal;3378;SG;9.1383326;47.3615266;de
3068;Moghegno;6677;2;Maggia;5317;TI;8.7054833;46.2400764;it
2523;Mohlin;4313;0;Mohlin;4254;AG;7.8434046;47.5617214;de
3195;Moiry VD;1148;8;Moiry;5490;VD;6.4536475;46.6485355;fr
2840;Molare;6760;1;Faido;5072;TI;8.8303423;46.4861424;it
2792;Moleno;6524;0;Bellinzona;5002;TI;8.9934636;46.2685971;it
1321;Moleson-sur-Gruyeres;1663;4;Gruyeres;2135;FR;7.0373373;46.5619958;fr
2266;Molinis;7056;0;Arosa;3921;GR;9.6551777;46.8272871;de
3153;Mollens VD;1146;0;Mollens (VD);5431;VD;6.3631709;46.5779091;fr
3830;Mollens VS;3974;0;Crans-Montana;6253;VS;7.5208089;46.3164161;fr
3295;Mollie-Margot;1073;2;Savigny;5611;VD;6.7503845;46.5568149;fr
1149;Mollis;8753;0;Glarus Nord;1630;GL;9.0757560;47.0937012;de
3547;Molondin;1415;0;Molondin;5921;VD;6.7485550;46.7597376;fr
1895;Mols;8885;0;Quarten;3295;SG;9.2812563;47.1122523;de
2017;Mon;7458;0;Albula/Alvra;3542;GR;9.5618211;46.6504728;rm
182;Monchaltorf;8617;0;Monchaltorf;196;ZH;8.7219752;47.3101561;de
3092;Moneto;6659;9;Centovalli;5397;TI;8.6207795;46.1504938;it
640;Monible;2715;2;Petit-Val;716;BE;7.2002568;47.2763344;fr
3317;Monnaz;1125;0;Echichens;5634;VD;6.4789580;46.5284893;fr
453;Montagne-de-Courtelary;2608;2;Cortebert;433;BE;7.1156327;47.1704120;fr
466;Montagne-de-Sonvilier;2615;2;Sonvilier;445;BE;6.9468313;47.1209304;fr
3002;Montagnola;6926;0;Collina d'Oro;5236;TI;8.9171931;45.9821462;it
3725;Montagnon (Leytron);1912;3;Leytron;6135;VS;7.1929062;46.1903300;fr
1220;Montagny-la-Ville;1776;0;Montagny (FR);2029;FR;6.9954373;46.8175015;fr
